time	V(mreal)	V(vc)	V(vinput)	V(vobser)	V(vtest)
4.140820312500000e-001	0.000000e+000	2.511022e-001	1.811022e+000	6.666655e-001	2.000000e+006
4.150585937500000e-001	0.000000e+000	2.498535e-001	1.798534e+000	6.666655e-001	2.000000e+006
4.160351562500000e-001	0.000000e+000	2.486114e-001	1.786113e+000	6.666655e-001	2.000000e+006
4.305440848214286e-001	0.000000e+000	2.311538e-001	1.611539e+000	6.666655e-001	2.000000e+006
4.450530133928571e-001	0.000000e+000	2.148161e-001	1.448162e+000	6.666656e-001	2.000000e+006
4.595619419642857e-001	0.000000e+000	1.995980e-001	1.295982e+000	6.666656e-001	2.000000e+006
4.740708705357143e-001	0.000000e+000	1.854997e-001	1.154999e+000	6.666657e-001	2.000000e+006
4.885797991071429e-001	0.000000e+000	1.725211e-001	1.025214e+000	6.666658e-001	2.000000e+006
5.030887276785714e-001	0.000000e+000	1.606622e-001	9.066255e-001	6.666658e-001	2.000000e+006
5.175976562500000e-001	0.000000e+000	1.499231e-001	7.992346e-001	6.666659e-001	2.000000e+006
5.301534598214286e-001	0.000000e+000	1.412128e-001	7.121325e-001	6.666660e-001	2.000000e+006
5.427092633928572e-001	0.000000e+000	1.329995e-001	6.299995e-001	6.666661e-001	2.000000e+006
5.552650669642857e-001	0.000000e+000	1.252830e-001	5.528354e-001	6.666662e-001	2.000000e+006
5.678208705357143e-001	0.000000e+000	1.180635e-001	4.806402e-001	6.666664e-001	2.000000e+006
5.803766741071429e-001	0.000000e+000	1.113408e-001	4.134141e-001	6.666667e-001	2.000000e+006
5.929324776785714e-001	0.000000e+000	1.051151e-001	3.511569e-001	6.666669e-001	2.000000e+006
6.054882812500000e-001	0.000000e+000	9.938625e-002	2.938687e-001	6.666672e-001	2.000000e+006
6.145563616071429e-001	0.000000e+000	9.545337e-002	2.545401e-001	6.666670e-001	2.000000e+006
6.236244419642857e-001	0.000000e+000	9.169091e-002	2.169157e-001	6.666673e-001	2.000000e+006
6.326925223214286e-001	0.000000e+000	8.809888e-002	1.809955e-001	6.666681e-001	2.000000e+006
6.417606026785714e-001	0.000000e+000	8.467726e-002	1.467795e-001	6.666694e-001	2.000000e+006
6.508286830357143e-001	0.000000e+000	8.142607e-002	1.142677e-001	6.666711e-001	2.000000e+006
6.598967633928572e-001	0.000000e+000	7.834529e-002	8.346006e-002	6.666734e-001	2.000000e+006
6.689648437500000e-001	0.000000e+000	7.543494e-002	5.435668e-002	6.666762e-001	2.000000e+006
6.713364955357143e-001	0.000000e+000	7.469247e-002	4.693207e-002	6.666766e-001	2.000000e+006
6.737081473214286e-001	0.000000e+000	7.395934e-002	3.960073e-002	6.666769e-001	2.000000e+006
6.760797991071429e-001	0.000000e+000	7.323552e-002	3.236264e-002	6.666771e-001	2.000000e+006
6.784514508928571e-001	0.000000e+000	7.252104e-002	2.521782e-002	6.666772e-001	2.000000e+006
6.808231026785714e-001	0.000000e+000	7.181588e-002	1.816625e-002	6.666773e-001	2.000000e+006
6.831947544642857e-001	0.000000e+000	7.112005e-002	1.120795e-002	6.666773e-001	2.000000e+006
6.855664062500000e-001	0.000000e+000	7.043354e-002	4.342908e-003	6.666772e-001	2.000000e+006
6.865429687500000e-001	0.000000e+000	7.015333e-002	1.540837e-003	6.666774e-001	2.000000e+006
6.875195312500000e-001	0.000000e+000	6.987462e-002	-1.246210e-003	6.666772e-001	2.000000e+006
6.884960937500000e-001	0.000000e+000	6.959742e-002	-4.018317e-003	6.666770e-001	2.000000e+006
6.914257812500000e-001	0.000000e+000	6.877466e-002	-1.224578e-002	6.666766e-001	2.000000e+006
