time	V(mreal)	V(vc)	V(vinput)	V(vobser)	V(vtest)
3.170898437500000e-001	3.021929e-001	1.548421e-001	8.482654e-001	4.059272e-001	3.000000e+004
3.180664062500000e-001	2.838119e-001	1.600016e-001	8.998599e-001	4.183799e-001	3.000000e+004
3.190429687500000e-001	2.641444e-001	1.651169e-001	9.510136e-001	4.321273e-001	3.000000e+004
3.200195312500000e-001	2.432015e-001	1.701886e-001	1.001730e+000	4.472630e-001	3.000000e+004
3.209960937500000e-001	2.209941e-001	1.752169e-001	1.052013e+000	4.638921e-001	3.000000e+004
3.219726562500000e-001	1.975330e-001	1.802022e-001	1.101866e+000	4.821318e-001	3.000000e+004
3.229492187500000e-001	1.728288e-001	1.851449e-001	1.151294e+000	5.021135e-001	3.000000e+004
3.239257812500000e-001	1.468923e-001	1.900454e-001	1.200299e+000	5.239836e-001	3.000000e+004
3.249023437500000e-001	1.197340e-001	1.949040e-001	1.248885e+000	5.479053e-001	3.000000e+004
3.258789062500000e-001	9.136426e-002	1.997211e-001	1.297056e+000	5.740609e-001	3.000000e+004
3.268554687500000e-001	6.179353e-002	2.044970e-001	1.344815e+000	6.026535e-001	3.000000e+004
3.278320312500000e-001	3.118639e-002	2.092322e-001	1.392166e+000	6.337408e-001	3.000000e+004
3.288085937500000e-001	7.831793e-003	2.139268e-001	1.439114e+000	6.582763e-001	3.000000e+004
3.297851562500000e-001	0.000000e+000	2.185814e-001	1.485660e+000	6.666572e-001	3.000000e+004
3.307617187500000e-001	0.000000e+000	2.231961e-001	1.531808e+000	6.666576e-001	3.000000e+004
3.346679687500000e-001	0.000000e+000	2.412642e-001	1.712490e+000	6.666583e-001	3.000000e+004
3.356445312500000e-001	0.000000e+000	2.456852e-001	1.756700e+000	6.666586e-001	3.000000e+004
3.366210937500000e-001	0.000000e+000	2.500683e-001	1.800531e+000	6.666588e-001	3.000000e+004
3.375976562500000e-001	0.000000e+000	2.544140e-001	1.843989e+000	6.666589e-001	3.000000e+004
3.391322544642857e-001	0.000000e+000	2.611651e-001	1.911500e+000	6.666592e-001	3.000000e+004
3.406668526785714e-001	0.000000e+000	2.678287e-001	1.978136e+000	6.666594e-001	3.000000e+004
3.422014508928571e-001	0.000000e+000	2.744049e-001	2.043898e+000	6.666596e-001	3.000000e+004
3.437360491071428e-001	0.000000e+000	2.808935e-001	2.108784e+000	6.666598e-001	3.000000e+004
3.452706473214285e-001	0.000000e+000	2.872946e-001	2.172796e+000	6.666600e-001	3.000000e+004
3.468052455357143e-001	0.000000e+000	2.936082e-001	2.235932e+000	6.666602e-001	3.000000e+004
3.483398437500000e-001	0.000000e+000	2.998344e-001	2.298194e+000	6.666603e-001	3.000000e+004
3.493164062500000e-001	0.000000e+000	3.037573e-001	2.337424e+000	6.666605e-001	3.000000e+004
3.500000000000000e-001	0.000000e+000	3.064875e-001	2.364724e+000	6.666217e-001	3.000000e+004
3.500976562500000e-001	0.000000e+000	3.065444e-001	2.365355e+000	6.666495e-001	6.847656e+004
3.502929687500000e-001	0.000000e+000	3.065323e-001	2.365282e+000	6.666641e-001	1.454297e+005
3.506835937500000e-001	0.000000e+000	3.062221e-001	2.362202e+000	6.666648e-001	2.993359e+005
3.514648437500000e-001	0.000000e+000	3.052649e-001	2.352639e+000	6.666652e-001	6.071484e+005
3.524414062500000e-001	0.000000e+000	3.038864e-001	2.338859e+000	6.666653e-001	9.919141e+005
3.534179687500000e-001	0.000000e+000	3.024252e-001	2.324248e+000	6.666654e-001	1.376680e+006
3.543945312500000e-001	0.000000e+000	3.009303e-001	2.309300e+000	6.666654e-001	1.761445e+006
3.550000000000000e-001	0.000000e+000	2.999953e-001	2.299952e+000	6.666659e-001	2.000000e+006
3.550976562500000e-001	0.000000e+000	2.998439e-001	2.298437e+000	6.666656e-001	2.000000e+006
3.552929687500000e-001	0.000000e+000	2.995414e-001	2.295411e+000	6.666654e-001	2.000000e+006
3.600641741071429e-001	0.000000e+000	2.922603e-001	2.222601e+000	6.666654e-001	2.000000e+006
3.648353794642857e-001	0.000000e+000	2.851562e-001	2.151560e+000	6.666654e-001	2.000000e+006
3.696065848214286e-001	0.000000e+000	2.782291e-001	2.082289e+000	6.666654e-001	2.000000e+006
3.743777901785714e-001	0.000000e+000	2.714790e-001	2.014788e+000	6.666654e-001	2.000000e+006
3.791489955357143e-001	0.000000e+000	2.649058e-001	1.949057e+000	6.666655e-001	2.000000e+006
3.839202008928572e-001	0.000000e+000	2.585097e-001	1.885096e+000	6.666655e-001	2.000000e+006
3.886914062500000e-001	0.000000e+000	2.522906e-001	1.822905e+000	6.666655e-001	2.000000e+006
3.896679687500000e-001	0.000000e+000	2.510354e-001	1.810353e+000	6.666655e-001	2.000000e+006
3.906445312500000e-001	0.000000e+000	2.497870e-001	1.797869e+000	6.666655e-001	2.000000e+006
3.916210937500000e-001	0.000000e+000	2.485452e-001	1.785452e+000	6.666655e-001	2.000000e+006
4.061300223214286e-001	0.000000e+000	2.310927e-001	1.610927e+000	6.666655e-001	2.000000e+006
